year,party,share
1993,National,0.3505
1993,Labour,0.3468
1996,National,0.3387
1996,Labour,0.2819
1999,Labour,0.3874
1999,National,0.3050
2002,Labour,0.4126
2002,National,0.2093
2005,Labour,0.4110
2005,National,0.3910
2008,National,0.4493
2008,Labour,0.3399
2008,Green,0.0672
2008,NZ First,0.0407
2008,ACT,0.0365
2008,Te Pāti Māori,0.0239
2008,Progressive,0.0091
2008,United Future,0.0087
2011,National,0.4731
2011,Labour,0.2748
2011,Green,0.1106
2011,NZ First,0.0659
2011,New Conservative,0.0265
2011,Te Pāti Māori,0.0143
2011,Mana,0.0108
2011,ACT,0.0107
2011,United Future,0.0060
2014,National,0.4704
2014,Labour,0.2513
2014,Green,0.1070
2014,NZ First,0.0866
2014,New Conservative,0.0397
2014,Mana,0.0142
2014,Te Pāti Māori,0.0132
2014,ACT,0.0069
2014,United Future,0.0022
2017,National,0.4445
2017,Labour,0.3689
2017,NZ First,0.0720
2017,Green,0.0627
2017,TOP,0.0244
2017,Te Pāti Māori,0.0118
2017,ACT,0.0050
2017,New Conservative,0.0024
2017,Mana,0.0014
2017,United Future,0.0007
2020,Labour,0.5001
2020,National,0.2558
2020,Green,0.0786
2020,ACT,0.0759
2020,NZ First,0.0260
2020,TOP,0.0151
2020,New Conservative,0.0148
2020,Te Pāti Māori,0.0117
2020,Advance NZ,0.0100
2023,National,0.3808
2023,Labour,0.2692
2023,Green,0.1161
2023,ACT,0.0864
2023,NZ First,0.0609
2023,Te Pāti Māori,0.0308
2023,TOP,0.0222
2023,New Conservative,0.0015
