target,horizon_weeks,legacy_crps_pp,legacy_cov90,ensemble_crps_pp,ensemble_cov90,ensemble_better,calibrated_crps_pp,calibrated_cov90,calibrated_better
2017,1,1.0217317406448498,0.5,0.6426733899073032,1.0,true,0.6528629760285595,0.875,true
2017,4,1.6512051515642876,0.625,0.7623422319870118,1.0,true,0.7695568785106336,0.875,true
2017,8,2.3715836075585948,0.625,1.9086804335092789,0.75,true,1.8703959034080433,0.625,true
2017,26,1.8179335155831735,0.625,1.4421044863105617,0.625,true,1.3952224883173283,0.75,true
2020,1,1.7415438498207474,0.4,1.1240527447929576,0.8,true,1.1567632147615459,0.6,true
2020,4,1.7713874048624778,0.4,1.6092155236467731,1.0,true,1.6104926146923846,1.0,true
2020,8,2.4047699957401596,0.2,1.8842126674171753,0.8,true,1.8656872833902585,0.8,true
2020,26,5.732709598201937,0.4,4.484210683126732,0.6,true,4.150841196543252,0.8,true
2023,1,0.8116907210926527,0.5714285714285714,0.8527467854001646,1.0,false,0.8643135031353975,0.7142857142857143,false
2023,4,0.8079555837060831,0.8571428571428571,0.7584489422333441,1.0,true,0.80423007055595,1.0,true
2023,8,1.3789581631056138,0.7142857142857143,1.470513994044681,1.0,false,1.5708158002314594,1.0,false
2023,26,2.1235594731929255,0.7142857142857143,2.284396925577177,0.8571428571428571,false,2.5054513929157007,1.0,false
