variant,horizon_weeks,crps_pp,energy_pp,mae_pp,coverage_50,coverage_90,log_score_share,brier_bloc,n_cases
heavy,1,0.8343396699786264,2.9815653580706325,1.2056540562517364,0.5928571428571429,0.9333333333333332,23.712237071604218,0.14135500000000004,3
gauss,1,0.8645468568710651,3.1376493234286187,1.2915887611254029,0.6345238095238095,1.0,23.77260397183137,0.1800736666666666,3
ensemble,1,0.8731576400334751,3.084085876427134,1.2752081014438799,0.6345238095238095,0.9333333333333332,23.53921343863416,0.1828029375,3
calibrated,1,0.8913132313085009,3.1976779545269287,1.2713117021421672,0.3761904761904762,0.7297619047619047,0.4020420227340094,0.22866549999999997,3
equal,1,0.8942868459686437,3.1970361760156742,1.2707743125854256,0.5678571428571428,0.9333333333333332,23.50052481345887,0.1635216875,3
base,1,1.1052342214513835,3.791445456029226,1.5090032856385,0.5678571428571428,0.8666666666666667,23.215696711210853,0.17066666666666666,3
legacy,1,1.1916554371860835,3.986931783713137,1.5374077928206449,0.24523809523809526,0.4904761904761905,13.6462634987639,0.032560666666666675,3
heavy,4,1.0119633117419837,3.4277167520057397,1.4542333509201912,0.5380952380952381,1.0,22.342506495046546,0.06595866666666667,3
gauss,4,1.040442434465472,3.561914411526544,1.4641850231427014,0.5797619047619048,1.0,21.69711186768305,0.086167,3
ensemble,4,1.0433355659557095,3.5671107987524047,1.4866294985849278,0.5797619047619048,1.0,21.995577177258728,0.08179193750000001,3
calibrated,4,1.0614265212529894,3.6140709683122414,1.499942837637166,0.5380952380952381,0.9583333333333334,19.76394356495222,0.08150385416666665,3
equal,4,1.066615292206919,3.696463870985534,1.5118034188248595,0.5797619047619048,1.0,21.984267878581772,0.06872802083333333,3
base,4,1.190861390863261,4.203509006498514,1.7163178338588747,0.5380952380952381,0.9583333333333334,21.51951090731444,0.061834,3
legacy,4,1.4101827133776161,4.874280371305771,1.7709205176530247,0.28690476190476194,0.6273809523809524,6.241752475884295,0.00048333333333333415,3
gauss,8,1.723777079014465,6.33185537384685,2.545649124193604,0.40119047619047615,0.85,18.266370602165736,0.05061433333333334,3
ensemble,8,1.754469031657045,6.373411536454594,2.582101134805696,0.40119047619047615,0.85,18.156611516621812,0.049501270833333326,3
calibrated,8,1.7689663290099205,6.40025344309657,2.5824701182370453,0.44285714285714284,0.8083333333333332,17.598952288205314,0.05346693749999998,3
equal,8,1.7756688975050527,6.437967116039805,2.613140604162766,0.40119047619047615,0.85,18.06287518448575,0.051425624999999996,3
heavy,8,1.7848871940513085,6.482196470072761,2.619261385150121,0.3535714285714286,0.85,18.09608100235872,0.05108533333333334,3
base,8,1.8272960032859729,6.715356704789097,2.6864800314962687,0.3119047619047619,0.8083333333333332,16.862931742570765,0.06158066666666668,3
legacy,8,2.0517705888014564,7.063121850802101,2.5723882864575742,0.10833333333333334,0.5130952380952382,-3.501376778305603,0.003333333333333332,3
calibrated,26,2.68383835925876,8.806261282947192,3.89488684044958,0.46547619047619043,0.85,14.56236081048848,0.14070395833333335,3
gauss,26,2.688502128755278,8.996955586077252,3.7964281410907077,0.2619047619047619,0.6940476190476191,14.065432446760331,0.17452366666666666,3
ensemble,26,2.7369040316714908,9.13377017467762,3.8138669601960014,0.2619047619047619,0.6940476190476191,14.52462207123798,0.17870679166666667,3
heavy,26,2.7675425731300236,9.304381787636103,3.8415992868617614,0.1726190476190476,0.6464285714285715,14.192511939776052,0.18446333333333334,3
equal,26,2.9381320112440825,9.788443229223924,4.062361995895481,0.28690476190476194,0.6940476190476191,13.171306067650809,0.20828185416666664,3
legacy,26,3.224734195659345,10.495410386601463,4.017295915118685,0.08928571428571429,0.5797619047619048,-15.764873191178125,0.12643800000000002,3
base,26,3.4697262000318037,11.33677350597158,4.486343590288467,0.24523809523809526,0.6273809523809524,7.800770866843501,0.305194,3
