house,party,effect_pp
Bauer Media Insights,National,-1.130550261568769
Bauer Media Insights,Labour,-1.9555542011118476
Bauer Media Insights,Green,1.9847793307609551
Bauer Media Insights,ACT,1.0030864677591498
Bauer Media Insights,NZ First,-0.23159969015771054
Bauer Media Insights,Te Pāti Māori,-0.10700113929065641
Bauer Media Insights,TOP,0.49124819798654973
Bauer Media Insights,Other,-0.05440870437769252
Curia,National,0.3751803923035535
Curia,Labour,-0.12494261893576386
Curia,Green,0.2654335861895951
Curia,ACT,0.44268642097056166
Curia,NZ First,-0.741651904702427
Curia,Te Pāti Māori,-0.017167434901040057
Curia,TOP,-0.7057307394314587
Curia,Other,0.5061922985069686
DigiPoll,National,1.3967188418642584
DigiPoll,Labour,1.2474343165081059
DigiPoll,Green,0.1445847343547968
DigiPoll,ACT,-1.0887684291144104
DigiPoll,NZ First,-0.7938999644892419
DigiPoll,Te Pāti Māori,-0.1903216765621784
DigiPoll,TOP,-0.4492944776146951
DigiPoll,Other,-0.26645334494663564
Freshwater Strategy,National,-0.3452109635954659
Freshwater Strategy,Labour,-0.18374833703204696
Freshwater Strategy,Green,0.5475171602683487
Freshwater Strategy,ACT,-0.09750688321303325
Freshwater Strategy,NZ First,0.3702715837137799
Freshwater Strategy,Te Pāti Māori,-0.2272526689176702
Freshwater Strategy,TOP,-0.041207825503073586
Freshwater Strategy,Other,-0.022862065720849478
Guardian Essential,National,-0.8839090561668816
Guardian Essential,Labour,0.43975053592454905
Guardian Essential,Green,-0.609398884261711
Guardian Essential,ACT,-0.45756229675548016
Guardian Essential,NZ First,0.5780153932641765
Guardian Essential,Te Pāti Māori,-0.20634632012385656
Guardian Essential,TOP,0.677811241542723
Guardian Essential,Other,0.4616393865764703
Horizon Research,National,-4.450382984286766
Horizon Research,Labour,-0.966859665361719
Horizon Research,Green,1.1302062919539528
Horizon Research,ACT,0.6213620444853449
Horizon Research,NZ First,2.5072182957588756
Horizon Research,Te Pāti Māori,0.14124570503949788
Horizon Research,TOP,0.30451033533519034
Horizon Research,Other,0.7126999770756037
Ipsos,National,1.5859297187166943
Ipsos,Labour,0.4301785088371757
Ipsos,Green,0.9389938973575429
Ipsos,ACT,-0.7554314027648029
Ipsos,NZ First,-2.035805665241766
Ipsos,Te Pāti Māori,-0.07058176403116068
Ipsos,TOP,-0.05136308703617559
Ipsos,Other,-0.041920205837512464
Reid Research,National,-0.5300670750165382
Reid Research,Labour,2.0961577137515395
Reid Research,Green,0.7095008725865173
Reid Research,ACT,-1.1362412746632924
Reid Research,NZ First,-0.4365153231535454
Reid Research,Te Pāti Māori,-0.10063521604024468
Reid Research,TOP,-0.4483824762004103
Reid Research,Other,-0.1538172212640399
Reid Research (segment 1),National,1.8365868518148643
Reid Research (segment 1),Labour,-0.004380136012788194
Reid Research (segment 1),Green,0.47493488125624345
Reid Research (segment 1),ACT,-0.3871223698609205
Reid Research (segment 1),NZ First,-0.807241475789286
Reid Research (segment 1),Te Pāti Māori,-0.08122471178864075
Reid Research (segment 1),TOP,-0.6288588300853055
Reid Research (segment 1),Other,-0.4026942095341719
Roy Morgan,National,-1.7257658037590273
Roy Morgan,Labour,-2.822283259590372
Roy Morgan,Green,2.594822236181571
Roy Morgan,ACT,1.4224661374536347
Roy Morgan,NZ First,-0.6469117654076095
Roy Morgan,Te Pāti Māori,0.15581370464792554
Roy Morgan,TOP,1.382776271869391
Roy Morgan,Other,-0.36091752139552
Talbot Mills,National,-0.018540907651298788
Talbot Mills,Labour,0.7359403732288883
Talbot Mills,Green,0.2347663694440852
Talbot Mills,ACT,-0.2890908384960991
Talbot Mills,NZ First,0.29316761306484446
Talbot Mills,Te Pāti Māori,0.026655919909412268
Talbot Mills,TOP,-0.3128427855774746
Talbot Mills,Other,-0.6700557439223696
Verian,National,1.755563772923957
Verian,Labour,0.29393656897605536
Verian,Green,0.6393801977449334
Verian,ACT,-0.34427714514426166
Verian,NZ First,-0.8508562568132552
Verian,Te Pāti Māori,-0.20174293611963345
Verian,TOP,-1.0489172671486906
Verian,Other,-0.24308693441910773
