party,week,mean,q05,q25,q50,q75,q95,has_data
National,2011-11-20,0.4722,0.4722,0.4722,0.4722,0.4722,0.4722,true
National,2011-11-27,0.4742,0.4629,0.4692,0.4734,0.478,0.4871,true
National,2011-12-04,0.4759,0.4603,0.469,0.4752,0.4814,0.4932,true
National,2011-12-11,0.4781,0.4584,0.4697,0.4772,0.4852,0.4997,true
National,2011-12-18,0.4797,0.4577,0.47,0.4792,0.4883,0.503,true
National,2011-12-25,0.4816,0.458,0.4708,0.4807,0.4914,0.5055,true
National,2012-01-01,0.4835,0.4592,0.4718,0.4824,0.4939,0.5112,true
National,2012-01-08,0.4856,0.4596,0.4738,0.4853,0.4972,0.5118,true
National,2012-01-15,0.4847,0.4564,0.4727,0.4846,0.4964,0.5119,true
National,2012-01-22,0.4842,0.455,0.4721,0.4842,0.4956,0.5126,true
National,2012-01-29,0.4833,0.4555,0.4713,0.4828,0.4946,0.5131,true
National,2012-02-05,0.4824,0.4532,0.4703,0.4822,0.494,0.5119,true
National,2012-02-12,0.483,0.4545,0.4708,0.4832,0.4946,0.5146,true
National,2012-02-19,0.4839,0.4561,0.4719,0.4836,0.4953,0.513,true
National,2012-02-26,0.4869,0.46,0.4751,0.4861,0.4982,0.5161,true
National,2012-03-04,0.4898,0.4612,0.4791,0.4896,0.5014,0.5195,true
National,2012-03-11,0.4907,0.4599,0.4789,0.4911,0.5019,0.5205,true
National,2012-03-18,0.4913,0.4624,0.48,0.4916,0.5029,0.52,true
National,2012-03-25,0.495,0.4657,0.4834,0.4944,0.5056,0.5249,true
National,2012-04-01,0.4963,0.4686,0.4853,0.4959,0.5066,0.5247,true
National,2012-04-08,0.4979,0.4703,0.4863,0.4977,0.5086,0.5269,true
National,2012-04-15,0.4951,0.4681,0.4833,0.4942,0.5063,0.5262,true
National,2012-04-22,0.4926,0.4655,0.4809,0.4916,0.5035,0.5228,true
National,2012-04-29,0.4891,0.4623,0.4776,0.4885,0.5005,0.5186,true
National,2012-05-06,0.4856,0.4571,0.473,0.4855,0.4967,0.5129,true
National,2012-05-13,0.4834,0.4563,0.472,0.4833,0.4949,0.5124,true
